Player_Id,Player_Name,DOB,Batting_Hand,Country
318,CJ McKay,20-Feb-83,Right_Hand,Australia
319,N Saini,28-Oct-88,Right_Hand,India
320,DA Miller,10-Jun-89,Left_Hand,South Africa
321,Azhar Mahmood,28-Feb-75,Right_Hand,Pakistan
322,P Negi,06-Jan-93,Left_Hand,India
323,RJ Peterson,04-Aug-79,Left_Hand,South Africa
324,KMDN Kulasekara,22-Jul-82,Right_Hand,Sri Lanka
325,A Ashish Reddy,24-Feb-91,Right_Hand,India
326,V Pratap Singh,03-May-92,Right_Hand,India
327,BB Samantray,14-Dec-88,Right_Hand,India
328,MJ Clarke,02-Apr-81,Right_Hand,Australia
329,Gurkeerat Singh,29-Jun-90,Right_Hand,India
330,AP Majumdar,30-Apr-84,Right_Hand,India
331,PA Reddy,11-Feb-91,Right_Hand,India
332,K Upadhyay,18-Jun-86,Right_Hand,India
333,P Awana,19-Jul-86,Right_Hand,India
334,AD Russell,29-Apr-88,Right_Hand,West Indies
335,A Chandila,05-Dec-83,Right_Hand,India
336,CA Lynn,10-Apr-90,Right_Hand,Australia
337,Sunny Gupta,27-Sep-88,Right_Hand,India
338,MC Juneja,12-Sep-90,Right_Hand,India
339,KK Nair,06-Dec-91,Right_Hand,India
340,GH Vihari,13-Oct-93,Right_Hand,India
341,MDKJ Perera,17-Aug-90,Left_Hand,Sri Lanka
342,R Shukla,28-Aug-90,Right_Hand,India
343,B Laughlin,03-Oct-82,Right_Hand,Australia
344,AS Rajpoot,04-Dec-93,Right_Hand,India
345,M Vohra,18-Jul-93,Right_Hand,India
346,JD Unadkat,18-Oct-91,Right_Hand,India
347,Mohammed Shami,03-Sep-90,Right_Hand,India
348,BMAJ Mendis,15-Jan-83,Left_Hand,Sri Lanka
349,R Rampaul,15-Oct-84,Left_Hand,West Indies
350,CH Morris,30-Apr-87,Right_Hand,South Africa
351,SV Samson,11-Nov-94,Right_Hand,India
352,SMSM Senanayake,09-Feb-85,Right_Hand,Sri Lanka
353,BJ Rohrer,26-Mar-81,Left_Hand,Australia
354,KL Rahul,18-Apr-92,Right_Hand,India
355,Q de Kock,17-Dec-92,Left_Hand,South Africa
356,R Dhawan,19-Feb-90,Right_Hand,India
357,MG Johnson,02-Nov-81,Left_Hand,Australia
358,LJ Wright,07-Mar-85,Right_Hand,England
359,IC Pandey,15-Aug-89,Right_Hand,India
360,CM Gautam,08-Mar-86,Right_Hand,India
361,X Thalaivan Sargunam,15-May-85,Right_Hand,India
362,DJG Sammy,20-Dec-83,Right_Hand,West Indies
363,KW Richardson,12-Feb-91,Right_Hand,Australia
364,MM Sharma,18-Sep-88,Right_Hand,India
365,UA Birla,17-Nov-89,Right_Hand,India
366,Parvez Rasool,13-Feb-89,Right_Hand,India
367,Sandeep Sharma,18-May-93,Right_Hand,India
368,S Kaul,19-May-90,Right_Hand,India
369,Sachin Baby,18-Dec-88,Left_Hand,India
370,PV Tambe,08-Oct-71,Right_Hand,India
371,NM Coulter-Nile,11-Oct-87,Right_Hand,Australia
372,CJ Anderson,13-Dec-90,Left_Hand,New Zealand
373,NJ Maddinson,21-Dec-91,Left_Hand,Australia
374,AR Patel,20-Jan-94,Left_Hand,India
375,JJ Bumrah,06-Dec-93,Right_Hand,India
376,JDS Neesham,17-Sep-90,Left_Hand,New Zealand
377,TG Southee,11-Dec-88,Right_Hand,New Zealand
378,MA Starc,30-Jan-90,Left_Hand,Australia
379,BR Dunk,11-Mar-87,Left_Hand,Australia
380,RR Rossouw,09-Oct-89,Left_Hand,South Africa
381,Shivam Sharma,09-Sep-93,Right_Hand,India
382,YS Chahal,23-Jul-90,Right_Hand,India
383,LMP Simmons,25-Jan-85,Right_Hand,West Indies
384,VH Zol,23-Nov-94,Left_Hand,India
385,BCJ Cutting,30-Jan-87,Right_Hand,Australia
386,Imran Tahir,27-Mar-79,Right_Hand,India
387,BE Hendricks,08-Jun-90,Left_Hand,South Africa
388,S Gopal,04-Sep-93,Right_Hand,India
389,M de Lange,13-Oct-90,Right_Hand,South Africa
390,R Tewatia,20-May-93,Left_Hand,India
391,JO Holder,05-Nov-91,Right_Hand,West Indies
392,Karanveer Singh,08-Nov-87,Right_Hand,India
393,SS Iyer,06-Dec-94,Right_Hand,India
394,DJ Hooda,19-Apr-95,Right_Hand,India
395,Anureet Singh,02-Mar-88,Right_Hand,India
396,KS Williamson,08-Aug-90,Right_Hand,New Zealand
397,SA Abbott,29-Feb-92,Right_Hand,New Zealand
398,J Suchith,16-Jan-94,Left_Hand,India
399,RG More,02-Feb-92,Right_Hand,India
400,HH Pandya,11-Oct-93,Right_Hand,India
401,D Wiese,18-May-85,Right_Hand,South Africa
402,SN Khan,27-Oct-97,Right_Hand,India
403,MJ McClenaghan,11-Jun-86,Left_Hand,New Zealand
404,DJ Muthuswami,09-Mar-81,Right_Hand,India
405,PJ Cummins,08-May-93,Right_Hand,Australia
406,SN Thakur,16-Oct-91,Right_Hand,India
407,JC Buttler,08-Sep-90,Right_Hand,England
408,CR Brathwaite,18-Jul-88,Right_Hand,West Indies
409,MP Stoinis,16-Aug-89,Right_Hand,Australia
410,Ishan Kishan,18-Jul-98,Left_Hand,India
411,C Munro,11-Mar-87,Left_Hand,New Zealand
412,P Sahu,21-Aug-85,Right_Hand,India
413,KH Pandya,24-Mar-91,Left_Hand,India
414,AD Nath,10-May-93,Right_Hand,India
415,MJ Guptill,30-Sep-86,Right_Hand,New Zealand
416,KJ Abbott,18-Jun-87,Right_Hand,South Africa
